kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
10747445,non-candidate,4.593595496,134.88971,1.147,2.7468,45034,84.31,92,1,0.5453,5717,4.538,0.884,0.984,16.444
10934674,candidate,16.54295261,169.65031,0.329,3.8516,726,89.41,36.1,1,0.4997,5215,4.518,0.867,0.904,14.687
6209677,candidate,7.76845639,138.06602,0.353,3.689,217.8,88.68,23.6,2,0.6776,5447,4.481,0.917,0.928,14.8
9007918,non-candidate,1.387206724,132.8469146,0.856,3.82527,151430,76.2,1752.6,1,-1,7207,4.06,1.894,1.499,11.658
6531801,non-candidate,0.515875396,131.7013,0.95,1.21,1773,18.33,9.1,1,,7229,4.278,1.38,1.32,13.591
9549471,non-candidate,15.71377375,132.09973,0.864,7.464,9482,85.53,98.1,1,0.6989,5812,4.434,0.96,0.912,14.292
8644365,candidate,10.54841329,139.06402,1.017,1.872,102.9,82.52,11.7,2,0.9244,6047,4.387,1.092,1.059,13.204
4902030,non-candidate,0.878803439,132.267269,0.467,2.74503,410720,83.29,524.8,1,-1,4524,4.566,0.737,0.727,15.929
12208631,candidate,0.912351255,131.59612,0.956,1.072,111.8,66.3,9.1,2,0.8035,5481,4.369,1.036,0.915,15.114
3859042,non-candidate,25.94947,148.9734,0.678,15.7,238.3,85.94,8.2,1,0.2332,5348,4.609,0.748,0.838,15.908
3942670,candidate,12.6119685,138.1189,0.709,6.372,76.5,86.26,12.2,2,0.9834,6007,4.178,1.42,1.108,13.954
8949925,candidate,42.0292298,138.8086,0.015,8.499,373.7,89.98,14.5,2,0.3227,5850,4.297,1.217,1.072,15.085
4681152,non-candidate,1.83592242,132.077813,1.189,5.9942,30746,58.43,1378.9,1,0.9777,5930,4.472,0.976,1.029,13.134
5286786,non-candidate,9.948701373,138.55412,1.277,3.2922,2749.5,82.24,103.1,1,0.2408,5152,4.517,0.786,0.741,15.456
9838414,non-candidate,1.33261458,132.0098,0.936,5.161,1335.3,45.43,17.5,1,0.0104,4611,4.551,0.76,0.748,17.511
10405224,non-candidate,0.93378068,132.4123,0.251,3.706,72.7,82.72,9.2,1,0.9253,4938,4.601,0.753,0.836,15.89
10468940,candidate,2.936527336,135.71829,0.524,1.771,352.3,87.29,34.7,2,0.4844,5359,4.375,1.002,0.867,14.968
9838468,candidate,54.4099612,175.40307,0.157,9.314,193,89.8,20.8,1,0.8924,5746,4.309,1.133,0.954,13.852
8107034,non-candidate,332.74984,386.9102,0.1296,14.77,518.1,89.95,8.7,1,,6372,4.375,1.112,1.063,15.487
10965963,non-candidate,6.64024496,132.775862,0.756,6.03491,224330,86.24,2941,1,0.1111,6085,4.293,1.215,1.055,13.881
6806695,non-candidate,0.855922327,131.64426,0.009,1.514,130.9,89.89,21.1,1,0.9085,5437,4.539,0.759,0.727,14.663
7376982,non-candidate,2.31610674,132.3383,0.404,3.347,33.6,85.29,13,1,0.7511,6025,4.3,1.193,1.036,13.608
12107021,non-candidate,5.93719982,135.95338,0.748,3.95,175.6,84.56,37,1,0.8297,6102,4.457,1.026,1.099,13.021
5471328,non-candidate,12.42555999,133.96829,0.9066,28.083,2964.8,64.17,122,1,,4922,4.576,0.704,0.681,15.902
8951205,candidate,4.95060632,132.80914,0.458,1.719,309.5,88.69,17.4,1,0.3435,5431,4.623,0.717,0.802,15.309
12120307,candidate,8.00504749,138.71228,0.054,3.32,187.5,89.83,15.6,3,0.1839,6398,4.411,1.101,1.141,14.79
12356746,non-candidate,0.502454299,131.9221686,1.17,2.31547,37454,52.05,873.6,1,0,6134,4.498,0.901,0.932,13.532
8320630,candidate,32.526674,137.3054,0.472,6.842,204.9,89.17,9.7,2,0.288,5668,4.545,0.868,0.963,15.23
4946581,non-candidate,28.615014,147.7816,0.505,24.74,70.5,86.26,13.5,1,0.1965,5562,3.925,1.987,1.213,14.091
5695396,candidate,16.09196369,170.598832,0.546,2.8943,415.8,89.14,84.9,3,0.3168,5680,4.414,1.016,0.978,11.525
3548639,non-candidate,13.8452726,136.9596,0.566,2.555,93.2,89.06,10.4,1,0.1056,6845,3.89,2.324,1.529,12.632
11358389,candidate,17.7838298,146.91035,0.115,3.997,247.1,89.81,18.7,3,0.8725,6014,4.436,1.021,1.037,14.651
7008211,candidate,187.746606,157.35064,0.015,5.885,1583,90,20.2,1,0.9333,5303,4.55,0.753,0.734,15.206
4754831,non-candidate,25.6416117,152.9007,0.5744,5.5,126.4,88.81,4.9,3,,6297,4.155,1.506,1.18,12.211
2708156,non-candidate,1.891268461,132.6833032,0.183,8.24958,641910,86.81,4211.8,1,-1,11287,3.642,4.662,3.471,10.672
6103049,non-candidate,0.643171495,131.8893076,1.214,2.31285,41160,58.03,641.4,1,0.6665,5899,4.387,0.989,0.869,15.147
9758089,candidate,32.376183,150.41557,0.896,4.4639,745.4,88.18,34.2,2,0.8482,4580,4.641,0.675,0.748,14.897
11457664,candidate,150.728285,223.0487,0.2751,2.718,213.5,89.95,5.6,1,,5778,4.544,0.871,0.967,14.396
7935997,non-candidate,322.5566305,321.7790604,,3.74,,,,2,,,,,,12.75
6528464,candidate,12.58229808,175.02129,0.044,6.375,118.7,89.83,62.1,2,0.2984,5587,4.091,1.423,0.911,11.411
3838004,non-candidate,2.344138713,131.57589,0.104,0.4495,110.8,89.85,8.6,1,0.9187,5313,3.835,2.095,1.095,13.419
8358012,non-candidate,10.06478627,135.24121,0.729,2.86,285.7,87.81,18.6,1,0.9587,5438,4.574,0.82,0.92,14.89
9837544,non-candidate,71.66191516,172.9074598,0.612,6.33708,323610,89.73,1804.1,1,-1,5075,4.497,0.824,0.777,15.167
10407221,non-candidate,0.933746783,131.51962,0.007,4.255,417.5,89.79,62.8,1,0.973,4643,4.61,0.663,0.652,15.647
5991936,non-candidate,6.09740316,133.32402,1.2051,4.635,568.5,63.03,14,1,,8828,4.227,1.828,2.053,13.424
8015907,candidate,2.752359689,171.259808,0.436,2.0722,791.9,87.36,115.7,1,0.215,5461,4.499,0.897,0.926,14.034
6676725,non-candidate,1.428766771,132.1908553,0.354,3.9753,92.2,82.39,3.6,1,0.7611,6197,4.449,1.035,1.096,14.701
5780885,candidate,4.885488596,134.2768785,0.361,5.16165,7458.4,87.2,2590.1,1,0.2698,6036,3.968,1.909,1.236,12.885
6356506,candidate,280.55544,308.0323,0.031,12.757,401.4,89.99,9.3,1,0.6584,6292,4.426,1.078,1.129,15.16
9637299,non-candidate,1.882438182,132.7396834,0.395,3.50695,344200,86.4,2051.3,1,-1,6322,4.211,1.213,0.872,13.68
10090854,candidate,12.63063129,136.70398,0.017,2.212,300.8,89.98,9.5,1,0.683,5579,4.58,0.798,0.892,15.633
7051984,candidate,0.339069751,131.86957,0.958,1.1516,53.2,37.61,38.2,1,0.7707,5653,3.846,2.183,1.216,12.771
5866724,candidate,8.13121389,137.99254,0.622,4.2386,111.8,86.95,55.3,3,0.011,6181,4.22,1.424,1.231,11.018
4139816,candidate,20.06036336,147.46554,0.556,3.3203,1494.7,89.21,35.2,4,0.7533,3950,4.754,0.493,0.502,15.954
9881662,candidate,91.3514816,189.60082,0.008,8.707,210,89.99,25.5,2,0.4275,5945,4.402,1.089,1.092,12.996
10141938,non-candidate,360.76458,148.5386,1.7475,21.22,383.7,86.52,10,1,,5513,4.616,0.724,0.791,14.659
9455677,candidate,124.827797,208.79191,0.096,6.479,647.5,89.96,17.1,1,0.8548,5349,4.353,1.032,0.875,15.259
5391407,non-candidate,0.638697833,131.7556646,1.757,5.1609,141450,42.83,206.3,1,-1,6424,4.388,1.18,1.242,14.068
8197767,non-candidate,1.247121237,132.39461,1.223,9.363,966.7,16.26,92.1,1,0.7477,4852,4.613,0.651,0.634,13.704
5563300,candidate,71.05457555,134.734589,0.061,1.9162,4853.2,89.99,95.9,1,0.466,5290,4.46,0.865,0.788,14.71
8894646,candidate,3.55557922,132.75203,0.269,3.24,60.4,88.11,15.5,1,0.9648,5839,4.337,1.082,0.926,13.845
12265150,non-candidate,1.686009643,133.060575,0.566,1.1818,390.4,86.5,48.5,1,0.906,5783,4.539,0.88,0.977,14.391
9665922,non-candidate,1.545388842,132.63059,0.341,3.037,52.8,84.77,20.6,1,0.836,5782,4.594,0.767,0.869,13.529
8574794,candidate,571.14302,251.0392,0.5041,10.06,531.3,89.95,8.5,1,,5751,4.514,0.943,1.06,14.851
6665064,candidate,24.996068,144.9693,0.409,5.623,621.7,89.26,9.4,2,0.682,5761,4.492,0.956,1.035,15.183
7700871,non-candidate,5.17968868,136.46144,1.203,3.7256,121.8,53.5,48.4,1,0.2961,5761,4.548,0.815,0.857,11.871
7811537,non-candidate,244.58323,159.3552,0.483,12.822,408.3,89.79,7.1,2,0.2942,6321,4.417,1.125,1.207,15.934
12109845,non-candidate,0.865959015,132.053694,3.068,1.9058,291270,69.06,620.8,1,0.0586,4561,4.788,0.469,0.492,16.44
3439096,non-candidate,2.97601892,132.96926,1.176,5.5,306.1,36.8,35.3,1,0.1135,5140,2.955,7.746,1.975,13.799
5040077,candidate,0.896382269,132.29651,0.332,1.113,136.4,86.78,11.7,1,0.8131,5837,4.502,0.843,0.824,14.603
7907423,candidate,7.11373257,174.32351,0.334,2.1764,807.6,89.21,44.4,3,0.474,3561,4.855,0.411,0.44,15.234
12055539,candidate,12.27057043,137.57434,0.026,3.002,295.5,89.95,18.7,1,0.7994,6075,4.486,0.969,1.048,14.411
5534702,non-candidate,1.025465924,131.6091403,0.88,3.71841,152680,72.01,1120.8,1,-1,6700,4.041,1.883,1.424,13.821
12600735,candidate,6.0799457,136.444,0.097,2.706,55.1,89.68,7.3,2,0.8551,6008,4.35,1.168,1.117,14.02
6975129,candidate,37.8404232,146.77624,0.211,6.408,232.6,89.73,23.7,3,0.1663,6243,4.406,1.149,1.226,12.949
6372194,candidate,281.5921577,261.81786,0.641,5.673,9312,89.89,76,1,0.9909,5330,4.627,0.713,0.797,15.87
6674908,non-candidate,0.503199724,131.90627,0.492,1.117,275.6,80.97,10.1,1,0.9195,4013,4.639,0.63,0.63,14.155
3547315,non-candidate,0.64234865,131.911078,0.966,2.1184,39597,65.02,231.7,1,-1,5441,4.553,0.791,0.814,16.639
10266852,non-candidate,179.2723077,149.1729837,,2.21,,,,1,,,,,,12.752
